epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,1679.69,0.61363,0.26031,0.00396,0.80108,0.80283,0.81047,0.60727,0.92675,0.96287,0.01054,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,1756.94,0.60654,0.25254,0.00391,0.80472,0.79937,0.81228,0.60797,0.92115,0.98275,0.01031,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,1837.22,0.60376,0.25092,0.00389,0.81829,0.79406,0.809,0.60406,0.92406,1.03551,0.01039,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,1918.05,0.59474,0.24446,0.00383,0.83187,0.78896,0.80182,0.60178,0.92288,1.10009,0.01042,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,1996.03,0.59078,0.24644,0.0038,0.81653,0.79508,0.79908,0.60128,0.91869,1.11602,0.01038,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,2074.26,0.58609,0.24288,0.00377,0.80918,0.78783,0.79587,0.5953,0.92702,1.03167,0.0105,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,2152.75,0.57897,0.23812,0.00371,0.81881,0.80359,0.80617,0.60116,0.92286,1.04084,0.01041,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,2234.03,0.57728,0.23281,0.0037,0.80926,0.79242,0.80046,0.59923,0.91458,1.04138,0.01034,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,2312.64,0.57124,0.23439,0.00366,0.82002,0.78803,0.80297,0.59908,0.91827,1.06803,0.01039,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,2389.12,0.56145,0.2266,0.00361,0.8188,0.79775,0.80345,0.60189,0.9099,1.06783,0.01023,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,2467.71,0.55818,0.2236,0.00359,0.83114,0.7961,0.80883,0.60646,0.90453,1.0301,0.01018,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,2546.63,0.55093,0.22172,0.00354,0.81927,0.80574,0.80356,0.60132,0.92297,1.04003,0.01053,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,2626.95,0.5505,0.22182,0.00351,0.81748,0.79928,0.79584,0.59467,0.926,1.09007,0.01054,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,2705.35,0.54177,0.21755,0.00346,0.81387,0.78862,0.79512,0.59313,0.91957,1.14319,0.0104,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,2783.75,0.53561,0.21076,0.00341,0.80623,0.8042,0.79311,0.59268,0.92835,1.15228,0.01055,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,2858.72,0.53651,0.21964,0.00343,0.82571,0.78965,0.79787,0.59523,0.92003,1.10985,0.01041,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,2941.37,0.53086,0.21538,0.00339,0.79177,0.8168,0.81151,0.60859,0.9131,1.05404,0.01034,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,3020.33,0.52734,0.20853,0.00337,0.8214,0.79935,0.79968,0.59914,0.9205,1.11841,0.01044,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,3096.09,0.52235,0.20748,0.00333,0.80035,0.80712,0.79574,0.59884,0.91492,1.15696,0.01034,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,3175.02,0.51645,0.2072,0.00328,0.80755,0.80152,0.80001,0.60132,0.92079,1.2272,0.01041,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3255.3,0.51139,0.20453,0.00325,0.79926,0.80478,0.79679,0.59533,0.91713,1.32375,0.01034,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3334.93,0.50856,0.20455,0.00323,0.83794,0.79554,0.8052,0.60257,0.91117,1.29393,0.01026,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
