epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,372.493,0.83725,0.74965,0.00406,0.70632,0.69657,0.74496,0.57178,0.91936,1.07053,0.00873,0.000120319,0.000120319,0.000120319
57,378.567,0.85489,0.77513,0.0042,0.72656,0.65308,0.74129,0.56544,0.91979,1.11346,0.00884,0.000119834,0.000119834,0.000119834
58,384.645,0.86418,0.7885,0.00416,0.7445,0.64791,0.73056,0.56304,0.9165,1.14669,0.00878,0.000119349,0.000119349,0.000119349
59,390.617,0.84773,0.76153,0.00414,0.65775,0.69389,0.72783,0.55857,0.92085,1.11485,0.00873,0.000118864,0.000118864,0.000118864
60,396.618,0.84548,0.7744,0.00406,0.71639,0.64948,0.72707,0.56056,0.91808,1.0575,0.00876,0.000118379,0.000118379,0.000118379
61,402.622,0.85519,0.79122,0.00417,0.74097,0.64893,0.72952,0.56109,0.9087,1.13437,0.00873,0.000117894,0.000117894,0.000117894
62,408.575,0.83204,0.75044,0.00392,0.73297,0.67167,0.7279,0.5553,0.92529,1.13341,0.00889,0.000117409,0.000117409,0.000117409
63,414.448,0.83247,0.75301,0.00391,0.69847,0.71239,0.72662,0.55196,0.936,1.106,0.00892,0.000116924,0.000116924,0.000116924
64,420.46,0.82033,0.72105,0.00405,0.69051,0.71358,0.72401,0.54894,0.94929,1.12225,0.00918,0.000116439,0.000116439,0.000116439
65,426.423,0.82633,0.73428,0.00403,0.6732,0.71393,0.72191,0.5516,0.9441,1.12793,0.00916,0.000115954,0.000115954,0.000115954
66,432.392,0.85923,0.74535,0.0041,0.73653,0.6537,0.73338,0.56057,0.9308,1.12912,0.00904,0.000115468,0.000115468,0.000115468
67,438.32,0.84092,0.69938,0.00402,0.72469,0.69642,0.74246,0.5643,0.94031,1.12818,0.009,0.000114983,0.000114983,0.000114983
68,444.333,0.83396,0.7066,0.00406,0.6976,0.68581,0.73227,0.55805,0.91224,1.1738,0.00886,0.000114498,0.000114498,0.000114498
69,450.237,0.80112,0.70599,0.00384,0.71985,0.67167,0.72049,0.55193,0.92271,1.19611,0.00897,0.000114013,0.000114013,0.000114013
70,456.229,0.80573,0.71749,0.00393,0.68731,0.70143,0.75178,0.57524,0.89971,1.15139,0.00868,0.000113528,0.000113528,0.000113528
71,462.162,0.80463,0.69681,0.00377,0.70789,0.6836,0.75386,0.56736,0.94419,1.15173,0.0091,0.000113043,0.000113043,0.000113043
72,468.234,0.86426,0.75323,0.00419,0.73364,0.66554,0.75283,0.57226,0.92456,1.14335,0.0088,0.000112558,0.000112558,0.000112558
73,474.148,0.81813,0.68423,0.00382,0.73038,0.67555,0.73864,0.56229,0.92996,1.14716,0.00892,0.000112073,0.000112073,0.000112073
74,480.149,0.79908,0.69277,0.00387,0.70835,0.68343,0.7307,0.55581,0.91721,1.16244,0.00895,0.000111588,0.000111588,0.000111588
75,486.084,0.82163,0.70772,0.00383,0.69938,0.7003,0.74009,0.56496,0.94474,1.12658,0.00901,0.000111103,0.000111103,0.000111103
76,492.115,0.79332,0.69145,0.00373,0.74387,0.69003,0.74116,0.57469,0.91144,1.11912,0.00862,0.000110617,0.000110617,0.000110617
77,498.013,0.79562,0.68972,0.00386,0.73451,0.68088,0.72857,0.56316,0.91768,1.15433,0.00884,0.000110132,0.000110132,0.000110132
78,504.108,0.79709,0.70707,0.00385,0.68658,0.71534,0.75051,0.57319,0.92981,1.17793,0.00895,0.000109647,0.000109647,0.000109647
79,510.091,0.77502,0.68611,0.00376,0.68605,0.69702,0.74042,0.56808,0.90085,1.1825,0.00871,0.000109162,0.000109162,0.000109162
80,516.255,0.80194,0.67725,0.00381,0.72551,0.68158,0.72843,0.55579,0.93231,1.18786,0.0091,0.000108677,0.000108677,0.000108677
81,522.408,0.78721,0.68986,0.00375,0.69756,0.70868,0.7426,0.5698,0.91184,1.19917,0.00881,0.000108192,0.000108192,0.000108192
