epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,377.355,0.53824,0.32936,0.00296,0.70115,0.71538,0.74103,0.56637,0.91043,1.10425,0.00873,0.000119349,0.000119349,0.000119349
59,383.301,0.52866,0.3164,0.00291,0.72826,0.69064,0.7633,0.5777,0.93448,1.07012,0.009,0.000118864,0.000118864,0.000118864
60,389.299,0.51996,0.3162,0.00289,0.6532,0.75219,0.73995,0.56762,0.92605,1.11069,0.00897,0.000118379,0.000118379,0.000118379
61,395.352,0.53544,0.32107,0.00291,0.71455,0.73069,0.75222,0.56881,0.93019,1.10928,0.00894,0.000117894,0.000117894,0.000117894
62,401.726,0.54412,0.31384,0.00302,0.70614,0.71429,0.74399,0.56236,0.93752,1.14869,0.00887,0.000117409,0.000117409,0.000117409
63,408.022,0.53042,0.30261,0.0029,0.74182,0.68565,0.74698,0.56209,0.93058,1.11605,0.00891,0.000116924,0.000116924,0.000116924
64,414.344,0.52388,0.30621,0.0029,0.69768,0.7129,0.75171,0.56831,0.92444,1.13294,0.00885,0.000116439,0.000116439,0.000116439
65,420.703,0.52297,0.30974,0.00293,0.67641,0.71074,0.74571,0.56805,0.92195,1.15496,0.00875,0.000115954,0.000115954,0.000115954
66,426.793,0.50367,0.29017,0.00279,0.70188,0.68469,0.7463,0.56105,0.92173,1.17944,0.00888,0.000115468,0.000115468,0.000115468
67,432.915,0.49685,0.2825,0.00274,0.7164,0.69717,0.74535,0.57413,0.90857,1.12926,0.00871,0.000114983,0.000114983,0.000114983
68,439.085,0.49273,0.27529,0.00274,0.6909,0.73312,0.75181,0.57067,0.91522,1.12411,0.00871,0.000114498,0.000114498,0.000114498
69,445.123,0.49789,0.28014,0.00276,0.7062,0.71348,0.75815,0.56778,0.91496,1.13148,0.00873,0.000114013,0.000114013,0.000114013
70,451.331,0.48482,0.28062,0.00268,0.6823,0.72243,0.75595,0.56558,0.91873,1.11334,0.00882,0.000113528,0.000113528,0.000113528
71,457.376,0.48239,0.27436,0.00267,0.69012,0.70715,0.7377,0.56526,0.90218,1.11846,0.00858,0.000113043,0.000113043,0.000113043
72,463.76,0.50741,0.27773,0.00277,0.69826,0.69753,0.73594,0.5679,0.90739,1.15534,0.00872,0.000112558,0.000112558,0.000112558
73,469.87,0.48797,0.26511,0.0027,0.60889,0.74069,0.71695,0.55004,0.91018,1.19028,0.00889,0.000112073,0.000112073,0.000112073
74,476.163,0.48537,0.26427,0.00264,0.6727,0.74153,0.75069,0.56978,0.90527,1.14895,0.00863,0.000111588,0.000111588,0.000111588
75,482.338,0.48808,0.26966,0.00267,0.69993,0.70002,0.73769,0.57228,0.91188,1.15336,0.00892,0.000111103,0.000111103,0.000111103
76,488.418,0.48605,0.26388,0.00265,0.63284,0.74763,0.73606,0.56204,0.91804,1.16135,0.00892,0.000110617,0.000110617,0.000110617
77,494.376,0.46323,0.25291,0.00253,0.61914,0.70894,0.724,0.55267,0.92044,1.19994,0.00886,0.000110132,0.000110132,0.000110132
78,500.4,0.46871,0.24628,0.00258,0.63356,0.72339,0.72963,0.56178,0.90879,1.16256,0.00878,0.000109647,0.000109647,0.000109647
79,506.34,0.45726,0.25381,0.00248,0.66229,0.73318,0.73254,0.56433,0.89791,1.13674,0.0086,0.000109162,0.000109162,0.000109162
80,512.397,0.47372,0.25484,0.00259,0.68154,0.74425,0.74081,0.57019,0.88561,1.13725,0.00846,0.000108677,0.000108677,0.000108677
81,518.424,0.46618,0.25146,0.00257,0.63115,0.78456,0.74399,0.56835,0.901,1.15206,0.00866,0.000108192,0.000108192,0.000108192
82,524.586,0.46012,0.24418,0.00251,0.68653,0.74885,0.75457,0.58006,0.90067,1.1026,0.00864,0.000107707,0.000107707,0.000107707
83,530.733,0.45796,0.23782,0.00251,0.67308,0.73357,0.73555,0.57038,0.90226,1.14023,0.00868,0.000107222,0.000107222,0.000107222
84,537.013,0.47986,0.24856,0.00265,0.6654,0.73929,0.73368,0.56574,0.92655,1.13073,0.00883,0.000106737,0.000106737,0.000106737
85,543.261,0.4656,0.24277,0.00255,0.66031,0.76452,0.7472,0.57829,0.90506,1.06836,0.00871,0.000106252,0.000106252,0.000106252
86,549.283,0.42701,0.23176,0.0023,0.67383,0.74489,0.73678,0.56716,0.89414,1.10796,0.0086,0.000105766,0.000105766,0.000105766
